,monthly_returns,volatility,sharpe,excReturns,beta,max_drawdown,TE,IR,monthly_turnover
CW,0.05479778715825986,0.2230899018217903,0.23977500197362614,0.0,1.0,-0.4138155983628494,0.0,,0.1636888082785318
BTC,0.05848041184648045,0.21463664797960802,0.2663757884593332,0.003682624688220594,0.9373040415561807,-0.3639840909442027,0.008546611741817077,19.193283271205132,0.0
EW,0.31681306318927477,0.28577643474460507,1.1040331508180343,0.26201527603101493,0.9851989424759581,-0.43793779923908815,0.036113157415480546,237.92359826132838,0.0
MV,0.1046625536810256,0.22174313143753802,0.46610755202352494,0.049864766522765745,0.7914645702250025,-0.4184839131528878,0.025687824644967057,44.2798203849795,1.4633433854651672
Low Vol,0.051859885791297654,0.23775927818593434,0.21262463727333242,-0.0029379013669622034,0.9736029514475978,-0.4666700223189151,0.017713267673612886,-35.70680039755958,0.8541666666666666
High Vol,2.7329244155441708,0.711156198505769,3.8410942852990786,2.678126628385911,0.9182234413611545,-0.41727008431922197,0.15970328165543304,265.8568370699937,0.5166666666666667
Low Beta,0.611784603951471,0.3966202134862581,1.539200922405783,0.5569868167932112,0.8781528158906584,-0.406480991981924,0.09500931524096429,177.26989688663915,0.3230769230769231
High Beta,0.6458541691704626,0.4885955832942154,1.3191845888498221,0.5910563820122027,1.0546661427038042,-0.4715746136734036,0.10027377177492197,164.57995977948008,0.3153846153846154
Low Beta EW,0.611784603951471,0.3966202134862581,1.539200922405783,0.5569868167932112,1.162281860989429,-0.406480991981924,0.09500931524096429,177.26989688663915,0.2019230769230769
High Beta EW,0.6458541691704626,0.4885955832942154,1.3191845888498221,0.5910563820122027,1.3609698457772654,-0.4715746136734036,0.10027377177492197,164.57995977948008,0.2269230769230769
Low Beta BTC,0.3981003269206233,0.30105708841204826,1.3180022550038708,0.34330253976236347,0.8523289677895961,-0.42579981042544135,0.07337810426992865,158.72736785282325,0.3230769230769231
High Beta BTC,0.7098729859069041,0.4899919259027069,1.4460780738231052,0.6550751987486442,1.017672416620863,-0.44390282968754136,0.1008584786670066,176.17755955016884,0.3673076923076923
