,monthly_returns,volatility,sharpe,excReturns,beta,max_drawdown,TE,IR,monthly_turnover
CW,0.045671681567539466,0.2065520726165349,0.2147897888260837,0.0,1.0,-0.5382051838266062,0.0,,0.1967881945075612
CW_noBTC,0.03444050435342191,0.29073584941317815,0.11396633374128376,-0.011231177214117559,1.0375142210265493,-0.7302183559249932,0.0432161864512667,114.42617483722587,
EW,0.07558316626291979,0.24189547294953195,0.30706139246257225,0.029911484695380325,0.9155242268777931,-0.7125349950238744,0.029312594508387652,187.31365873103374,0.0
MV,0.05616908440400247,0.2096368159867345,0.2617034543151527,0.010497402836463006,0.8046384073681714,-0.6717179823710283,0.026021693534454177,82.60548561378339,3.463512274144973
Low Vol,0.0010394686028583526,0.2051179833236654,-0.001301382265271501,-0.04463221296468111,0.837560454888388,-0.7373821223871416,0.023007617309002755,-149.2680802001685,1.3662790697674418
High Vol,0.15421719762072245,0.5162178695887251,0.2962136747298261,0.10854551605318298,0.9796008123600093,-0.7759323073115769,0.08839486800722865,285.0738797785887,0.9127906976744186
Low Beta,0.05947986176467713,0.24221586205773427,0.24017195142309447,0.013808180197137664,0.8156492721738354,-0.7004291126959636,0.03466202087836404,112.19729917555628,0.4711111111111111
High Beta,0.07526854117877572,0.2925954151605781,0.2527795441686632,0.02959685961123626,1.015399181581751,-0.7292320526542418,0.0378906044010784,187.17868543183124,0.4711111111111111
Low Beta EW,0.03733881326707841,0.2219463719389899,0.16234736095771468,-0.008332868300461052,0.8094710558105693,-0.7170397883834931,0.024624918088184632,18.1309424749028,0.2111111111111111
High Beta EW,0.09379999928236811,0.31056301529474895,0.29782552724747446,0.048128317714828645,1.1905289441894313,-0.7182100683016353,0.0456886988094258,230.57836948184544,0.2111111111111111
Low Beta noBTC,0.07485823681179592,0.2533531724979791,0.2903134410276176,0.02918655524425645,0.4191188296663514,-0.6368106359453194,0.03526207455632535,153.30986036150938,0.3488888888888888
High Beta noBTC,0.058773073747478845,0.284115589380558,0.2022651004970418,0.01310139217993938,0.6597193410703089,-0.7981663290342408,0.03778432381827692,147.55523875608844,0.3488888888888888
